eco	name	fen	moves
C01	French Defense: Exchange Variation, Svenonius Variation	rnbqkb1r/ppp2ppp/5n2/3p2B1/3P4/2N5/PPP2PPP/R2QKBNR b KQkq -	e2e4 e7e6 d2d4 d7d5 b1c3 g8f6 e4d5 e6d5 c1g5
C02	French Defense: Advance Variation	rnbqkbnr/ppp2ppp/4p3/3pP3/3P4/8/PPP2PPP/RNBQKBNR b KQkq -	e2e4 e7e6 d2d4 d7d5 e4e5
C02	French Defense: Advance Variation	rnbqkbnr/pp3ppp/4p3/2ppP3/3P4/8/PPP2PPP/RNBQKBNR w KQkq -	e2e4 e7e6 d2d4 d7d5 e4e5 c7c5
C02	French Defense: Advance Variation	rnbqkbnr/pp3ppp/4p3/2ppP3/3P4/2P5/PP3PPP/RNBQKBNR b KQkq -	e2e4 e7e6 d2d4 d7d5 e4e5 c7c5 c2c3
C02	French Defense: Advance Variation	r1bqkbnr/pp3ppp/2n1p3/2ppP3/3P4/2P5/PP3PPP/RNBQKBNR w KQkq -	e2e4 e7e6 d2d4 d7d5 e4e5 c7c5 c2c3 b8c6
C02	French Defense: Advance Variation, Euwe Variation	r2qkbnr/pp1b1ppp/2n1p3/2ppP3/3P4/2P2N2/PP3PPP/RNBQKB1R w KQkq -	e2e4 e7e6 d2d4 d7d5 e4e5 c7c5 c2c3 b8c6 g1f3 c8d7
C02	French Defense: Advance Variation, Extended Bishop Swap	rn1qkbnr/pppb1ppp/4p3/3pP3/3P4/8/PPP2PPP/RNBQKBNR w KQkq -	e2e4 e7e6 d2d4 d7d5 e4e5 c8d7
C02	French Defense: Advance Variation, Frenkel Gambit	rnbqkbnr/pp3ppp/4p3/2ppP3/1P1P4/8/P1P2PPP/RNBQKBNR b KQkq -	e2e4 e7e6 d2d4 d7d5 e4e5 c7c5 b2b4
C02	French Defense: Advance Variation, Lputian Variation	r1b1kb1r/pp3ppp/1qn1p2n/2ppP3/3P4/P1P2N2/1P3PPP/RNBQKB1R w KQkq -	e2e4 e7e6 d2d4 d7d5 e4e5 c7c5 c2c3 b8c6 g1f3 d8b6 a2a3 g8h6
C02	French Defense: Advance Variation, Main Line	r1b1kbnr/pp3ppp/1qn1p3/2ppP3/3P4/P1P2N2/1P3PPP/RNBQKB1R b KQkq -	e2e4 e7e6 d2d4 d7d5 e4e5 c7c5 c2c3 b8c6 g1f3 d8b6 a2a3
